,City,Cuisines,Cost,Tablebooking,Onlinedelivery,deliverynow,Price_range,rating,rating_color,rating_text,Votes
279,40,1125,40,0,0,0,3,3.7,5,2,83
280,40,29,25,0,0,0,2,3.6,5,2,48
281,40,1026,40,0,0,0,3,3.8,5,2,198
282,40,1212,10,0,0,0,1,3.5,5,2,126
283,40,281,10,0,0,0,1,3.5,5,2,119
284,40,69,25,0,0,0,2,3.6,5,2,140
285,40,6,40,0,0,0,3,3.6,5,2,159
286,40,1098,25,0,0,0,2,3.6,5,2,131
287,40,22,10,0,0,0,1,3.5,5,2,60
288,40,34,25,0,0,0,2,3.7,5,2,89
289,40,98,70,0,0,0,4,3.6,5,2,72
290,41,331,20,0,0,0,2,4.1,1,5,56
291,44,1212,10,0,0,0,1,3.7,5,2,83
292,45,1793,30,0,0,0,3,3.5,5,2,37
293,46,343,20,0,0,0,2,3.7,5,2,29
294,47,92,25,0,0,0,2,4.4,1,5,239
295,47,171,10,0,0,0,1,4.1,1,5,235
296,47,31,25,0,0,0,2,3.8,5,2,88
297,47,1825,40,0,0,0,3,3.9,5,2,209
298,47,168,10,0,0,0,1,3.9,5,2,133
299,47,537,10,0,0,0,1,4.4,1,5,267
300,47,221,25,0,0,0,2,4.1,1,5,171
301,47,1667,25,0,0,0,2,3.8,5,2,107
302,47,100,40,0,0,0,3,4.3,1,5,164
303,47,175,10,0,0,0,1,4.1,1,5,182
304,47,1663,25,0,0,0,2,4.9,0,1,681
305,47,1795,10,0,0,0,1,4.6,0,1,357
306,47,168,25,0,0,0,2,3.8,5,2,89
307,47,53,25,0,0,0,2,4.2,1,5,350
308,47,1738,10,0,0,0,1,4.3,1,5,298
309,47,100,25,0,0,0,2,4.2,1,5,319
310,47,924,40,0,0,0,3,3.8,5,2,114
311,47,925,10,0,0,0,1,3.9,5,2,136
312,47,316,25,0,0,0,2,2.2,3,4,108
313,47,1104,10,0,0,0,1,4.0,1,5,161
314,52,367,20,0,0,0,2,3.8,5,2,192
315,52,1072,7,0,0,0,1,3.8,5,2,93
316,53,280,20,0,0,0,2,4.1,1,5,40
317,57,304,7,0,0,0,1,3.7,5,2,100
318,64,272,7,0,0,0,1,3.8,5,2,97
319,65,308,10,0,0,0,1,3.6,5,2,41
320,66,1795,25,0,0,0,2,4.5,0,1,799
321,68,272,20,0,0,0,2,3.6,5,2,18
322,71,331,20,0,0,0,2,3.5,5,2,31
323,72,613,25,0,0,0,2,3.9,5,2,146
324,72,1639,10,0,0,0,1,4.9,0,1,478
325,72,1667,25,0,0,0,2,4.6,0,1,467
326,72,588,25,0,0,0,2,4.5,0,1,302
327,72,306,25,0,0,0,2,4.5,0,1,289
328,72,1825,40,0,0,0,3,3.8,5,2,102
329,72,94,40,0,0,0,3,4.1,1,5,293
330,72,1743,70,0,0,0,4,4.0,1,5,195
331,72,773,10,0,0,0,1,4.3,1,5,244
332,72,813,70,0,0,0,4,4.2,1,5,379
333,72,941,10,0,0,0,1,4.2,1,5,223
334,72,40,25,0,0,0,2,3.7,5,2,243
335,72,1031,25,0,0,0,2,3.7,5,2,104
336,72,1130,10,0,0,0,1,3.7,5,2,153
337,72,1640,25,0,0,0,2,3.8,5,2,323
338,72,1212,10,0,0,0,1,4.1,1,5,181
339,72,63,25,0,0,0,2,4.0,1,5,316
340,72,168,25,0,0,0,2,4.2,1,5,288
341,72,1130,10,0,0,0,1,4.0,1,5,232
342,72,1125,40,0,0,0,3,4.1,1,5,314
343,77,115,20,0,0,0,2,2.9,2,0,11
344,78,269,10,0,0,0,1,2.4,3,4,17
345,79,219,30,0,0,0,3,3.8,5,2,176
346,80,1825,0,0,0,0,1,3.4,2,0,11
347,82,1098,25,0,0,0,2,3.6,5,2,65
348,83,617,30,0,0,0,3,2.4,3,4,193
